Year,Candidate_ID,Name,State,Category,Prelims_Score,Mains_Score,Interview_Score,Final_Score,AIR (All India Rank),Category_Rank,State_Rank,Selection_Status,Service_Allotted
2023,UPSC931406,Candidate_1681,West Bengal,OBC,165,737,162,1064,5000,2561,441,Yes,None
2021,UPSC288022,Candidate_2127,Delhi,EWS,115,752,80,947,2303,1121,295,Yes,IPS
2019,UPSC517404,Candidate_9047,Uttar Pradesh,EWS,118,430,250,798,177,2506,86,Yes,IRS
2015,UPSC164470,Candidate_7026,Karnataka,EWS,84,382,238,704,7029,3873,487,Yes,IRS
2017,UPSC143376,Candidate_2841,Uttar Pradesh,OBC,174,598,91,863,95,1134,398,Yes,IRS
2017,UPSC145053,Candidate_9149,Tamil Nadu,EWS,177,526,260,963,16035,335,177,Yes,IRS
2018,UPSC657806,Candidate_4722,Delhi,OBC,107,854,230,1191,18160,4935,161,Yes,IFS
2023,UPSC493497,Candidate_7687,West Bengal,EWS,56,311,213,580,16355,3864,22,No,None
2021,UPSC494392,Candidate_7453,Delhi,General,148,654,100,902,6143,4396,263,Yes,IFS
2016,UPSC812297,Candidate_2392,Delhi,EWS,130,513,236,879,17999,497,289,Yes,IFS
2020,UPSC845410,Candidate_4807,Uttar Pradesh,General,86,695,144,925,17314,2243,212,Yes,IPS
2018,UPSC232558,Candidate_5928,Karnataka,SC,53,475,55,583,19253,301,48,No,None
2018,UPSC253260,Candidate_5066,Karnataka,ST,82,830,115,1027,9613,2245,346,Yes,IAS
2015,UPSC163372,Candidate_3289,Karnataka,EWS,143,756,137,1036,789,1346,404,Yes,None
2024,UPSC271014,Candidate_5068,West Bengal,General,179,343,113,635,9522,3618,476,No,None
2018,UPSC171081,Candidate_1215,West Bengal,SC,136,516,139,791,18994,4817,160,Yes,None
2022,UPSC848216,Candidate_7790,Tamil Nadu,EWS,190,490,216,896,872,1041,118,Yes,IAS
2022,UPSC302913,Candidate_1421,Uttar Pradesh,EWS,146,513,144,803,13045,4108,465,Yes,IRS
2024,UPSC595114,Candidate_4379,Delhi,General,58,487,61,606,9204,3094,460,No,None
2019,UPSC822478,Candidate_3978,Delhi,SC,176,891,99,1166,1827,2778,198,Yes,IAS
2019,UPSC382349,Candidate_2498,Delhi,SC,120,733,120,973,6567,4533,366,Yes,IRS
2022,UPSC532638,Candidate_1994,Delhi,OBC,102,561,97,760,19433,2441,473,Yes,None
2022,UPSC623577,Candidate_1437,Karnataka,ST,65,718,118,901,15063,2103,414,Yes,IRS
2019,UPSC667285,Candidate_5277,Uttar Pradesh,ST,57,884,110,1051,772,834,224,Yes,IPS
2023,UPSC338813,Candidate_8014,Maharashtra,ST,193,837,158,1188,12306,402,204,Yes,IPS
2024,UPSC367602,Candidate_3264,Tamil Nadu,EWS,132,537,273,942,19980,3950,311,Yes,None
2021,UPSC115509,Candidate_5740,Karnataka,SC,63,358,160,581,7308,3680,125,No,None
2023,UPSC864483,Candidate_3593,Karnataka,ST,72,561,88,721,9627,4751,291,Yes,IFS
2019,UPSC969782,Candidate_3748,Tamil Nadu,OBC,105,596,136,837,16745,4176,496,Yes,IPS
2024,UPSC686266,Candidate_4299,Delhi,EWS,109,555,126,790,6559,1282,364,Yes,IAS
2019,UPSC214745,Candidate_4132,Delhi,ST,147,552,265,964,14300,2634,349,Yes,IFS
2019,UPSC370138,Candidate_7872,Delhi,SC,113,452,70,635,10592,1093,246,No,None
2019,UPSC135244,Candidate_9015,West Bengal,EWS,78,900,187,1165,16789,914,287,Yes,IFS
2015,UPSC298692,Candidate_3165,Tamil Nadu,General,139,707,74,920,5223,3932,272,Yes,IPS
2024,UPSC308292,Candidate_3424,Tamil Nadu,General,134,759,134,1027,18459,1560,81,Yes,IFS
2016,UPSC899515,Candidate_4852,Tamil Nadu,SC,182,460,250,892,7160,3605,321,Yes,IFS
2018,UPSC900210,Candidate_7403,Maharashtra,SC,67,587,223,877,4674,2395,135,Yes,IFS
2022,UPSC705560,Candidate_3291,Uttar Pradesh,General,144,521,104,769,11517,3680,193,Yes,IAS
2019,UPSC417970,Candidate_5405,Uttar Pradesh,SC,142,343,242,727,3634,3080,424,Yes,None
2023,UPSC515854,Candidate_1112,Delhi,ST,69,303,253,625,300,2582,369,No,None
2018,UPSC415998,Candidate_4287,Uttar Pradesh,EWS,83,489,53,625,15160,4423,32,No,None
2018,UPSC977619,Candidate_2553,Tamil Nadu,SC,136,646,91,873,7320,3484,435,Yes,IPS
2017,UPSC364747,Candidate_7889,Tamil Nadu,EWS,193,453,212,858,4937,2438,129,Yes,None
2024,UPSC246105,Candidate_5434,Tamil Nadu,SC,142,779,121,1042,15427,1927,157,Yes,IPS
2020,UPSC633010,Candidate_3860,Tamil Nadu,OBC,196,842,218,1256,13454,425,94,Yes,IFS
2018,UPSC398586,Candidate_2672,Tamil Nadu,OBC,83,379,51,513,15766,755,273,No,None
2024,UPSC152321,Candidate_6226,Maharashtra,SC,129,429,137,695,18220,2073,261,No,None
2022,UPSC404718,Candidate_8790,Tamil Nadu,OBC,84,846,195,1125,3994,1727,402,Yes,IPS
2021,UPSC203404,Candidate_6146,Tamil Nadu,SC,85,764,262,1111,5664,3563,71,Yes,IRS
2017,UPSC633303,Candidate_5814,Delhi,OBC,154,888,116,1158,19015,4165,302,Yes,None
2016,UPSC174011,Candidate_3005,Maharashtra,ST,103,661,55,819,7023,2865,345,Yes,None
2017,UPSC187142,Candidate_6546,Uttar Pradesh,SC,54,730,234,1018,10895,1437,197,Yes,None
2022,UPSC694779,Candidate_2787,Uttar Pradesh,SC,65,551,57,673,12833,4991,400,No,None
2024,UPSC625260,Candidate_1995,Uttar Pradesh,ST,191,863,252,1306,515,1487,441,Yes,IRS
2018,UPSC616637,Candidate_1788,West Bengal,ST,109,485,123,717,12248,4409,33,Yes,IRS
2022,UPSC550425,Candidate_1450,Maharashtra,OBC,75,861,116,1052,10291,2273,83,Yes,IFS
2024,UPSC965331,Candidate_1789,West Bengal,General,76,473,198,747,18616,656,272,Yes,IAS
2022,UPSC830899,Candidate_4955,Uttar Pradesh,ST,175,744,225,1144,16237,1341,159,Yes,None
2017,UPSC692474,Candidate_8674,Karnataka,SC,51,722,250,1023,2902,4066,144,Yes,IAS
2022,UPSC488827,Candidate_2137,West Bengal,ST,107,372,149,628,1762,1068,468,No,None
2023,UPSC945407,Candidate_6970,Tamil Nadu,SC,75,458,208,741,15503,1343,326,Yes,IRS
2023,UPSC944780,Candidate_2206,Uttar Pradesh,EWS,74,873,179,1126,3926,3198,91,Yes,IPS
2018,UPSC506272,Candidate_1820,Tamil Nadu,General,70,406,151,627,5346,4885,301,No,None
2015,UPSC903704,Candidate_7490,West Bengal,EWS,161,751,166,1078,19264,4085,58,Yes,IAS
2020,UPSC869311,Candidate_4000,Karnataka,EWS,105,468,201,774,7075,2348,474,Yes,None
2024,UPSC798282,Candidate_1128,Tamil Nadu,EWS,129,379,235,743,5750,946,461,Yes,None
2022,UPSC693067,Candidate_3595,Maharashtra,SC,123,891,139,1153,10823,976,391,Yes,IRS
2022,UPSC939490,Candidate_5049,Karnataka,SC,81,614,204,899,15294,801,325,Yes,IRS
2021,UPSC654339,Candidate_3495,Delhi,EWS,172,471,230,873,6804,2160,102,Yes,IRS
2016,UPSC493085,Candidate_8757,Maharashtra,OBC,147,823,140,1110,9900,4225,126,Yes,IFS
2024,UPSC310935,Candidate_8475,Uttar Pradesh,ST,176,873,134,1183,18805,1346,266,Yes,IAS
2022,UPSC774136,Candidate_1718,Karnataka,OBC,118,504,124,746,2791,3318,206,Yes,None
2022,UPSC721869,Candidate_2893,Delhi,General,172,881,210,1263,13513,3592,263,Yes,IAS
2016,UPSC480091,Candidate_5304,Maharashtra,General,63,625,266,954,7178,1973,177,Yes,IPS
2022,UPSC964291,Candidate_4216,Karnataka,OBC,80,886,162,1128,16180,789,119,Yes,IPS
2023,UPSC301755,Candidate_2366,Uttar Pradesh,EWS,84,435,185,704,7200,758,238,Yes,IPS
2021,UPSC978239,Candidate_8281,Karnataka,ST,130,347,164,641,11679,2953,339,No,None
2024,UPSC297881,Candidate_9271,Delhi,General,120,673,94,887,4653,539,179,Yes,IRS
2020,UPSC153645,Candidate_4447,Maharashtra,EWS,153,608,216,977,17694,3743,17,Yes,IRS
2020,UPSC151351,Candidate_3972,Maharashtra,General,158,592,265,1015,4263,4299,412,Yes,IPS
2023,UPSC281105,Candidate_4142,Karnataka,EWS,151,767,58,976,7688,3691,111,Yes,IAS
2024,UPSC798771,Candidate_8967,West Bengal,OBC,165,488,213,866,11703,97,314,Yes,IAS
2021,UPSC436834,Candidate_6585,Delhi,ST,140,428,224,792,14516,4265,140,Yes,None
2019,UPSC853412,Candidate_2824,Maharashtra,General,168,792,226,1186,8347,4111,186,Yes,IAS
2017,UPSC310075,Candidate_6922,Tamil Nadu,General,106,735,57,898,3936,3376,336,Yes,IFS
2021,UPSC686911,Candidate_4818,Maharashtra,ST,167,822,239,1228,2728,1323,272,Yes,None
2016,UPSC618718,Candidate_5208,West Bengal,General,58,681,73,812,14623,2770,446,Yes,IAS
2022,UPSC186360,Candidate_2791,Delhi,ST,90,867,162,1119,3412,1255,200,Yes,IAS
2017,UPSC662877,Candidate_7210,Maharashtra,SC,88,443,228,759,12721,2175,273,Yes,IRS
2022,UPSC741526,Candidate_6310,Karnataka,EWS,54,356,79,489,2441,1494,497,No,None
2024,UPSC420553,Candidate_5585,Maharashtra,OBC,54,399,113,566,8188,1828,125,No,None
2023,UPSC604218,Candidate_8252,Delhi,EWS,140,800,165,1105,9127,3053,36,Yes,IPS
2024,UPSC245100,Candidate_5890,Karnataka,EWS,179,479,132,790,10393,4501,175,Yes,IFS
2015,UPSC801864,Candidate_9924,Delhi,General,102,307,247,656,14988,4194,127,No,None
2020,UPSC839166,Candidate_2206,Karnataka,EWS,139,793,206,1138,19553,3031,321,Yes,None
2017,UPSC644414,Candidate_8132,Uttar Pradesh,EWS,113,321,255,689,5883,1706,40,No,None
2015,UPSC616001,Candidate_4771,West Bengal,OBC,194,865,193,1252,2375,4141,414,Yes,None
2017,UPSC452807,Candidate_1301,Delhi,ST,187,602,269,1058,18185,3886,315,Yes,None
2016,UPSC609147,Candidate_2547,Delhi,OBC,84,472,257,813,3796,363,279,Yes,IFS
2019,UPSC372611,Candidate_5196,Delhi,General,164,369,171,704,1063,1999,73,Yes,None
2023,UPSC623990,Candidate_5772,West Bengal,OBC,66,525,221,812,12811,187,420,Yes,IAS
2024,UPSC620683,Candidate_4280,Uttar Pradesh,General,199,551,232,982,15122,2420,157,Yes,IAS
2020,UPSC143585,Candidate_5820,Maharashtra,EWS,109,524,76,709,9266,4660,62,Yes,None
2017,UPSC314403,Candidate_6874,Karnataka,General,59,366,246,671,17739,17,40,No,None
2024,UPSC821903,Candidate_2205,Uttar Pradesh,SC,168,866,235,1269,2148,2787,94,Yes,IAS
2016,UPSC994171,Candidate_6490,West Bengal,General,97,836,95,1028,10590,3952,293,Yes,IPS
2016,UPSC181089,Candidate_2431,Maharashtra,General,112,370,186,668,4476,4029,436,No,None
2021,UPSC231732,Candidate_5722,Maharashtra,EWS,180,645,66,891,5473,2821,5,Yes,IRS
2015,UPSC353369,Candidate_3525,Maharashtra,EWS,99,328,228,655,19707,2653,47,No,None
2023,UPSC292438,Candidate_7585,Tamil Nadu,SC,136,381,86,603,4439,785,209,No,None
2022,UPSC320616,Candidate_6566,Uttar Pradesh,SC,54,300,61,415,583,1230,310,No,None
2018,UPSC945492,Candidate_9688,Uttar Pradesh,OBC,196,473,154,823,19128,1444,458,Yes,IRS
2020,UPSC822788,Candidate_8666,West Bengal,OBC,153,675,69,897,1972,3749,189,Yes,IPS
2017,UPSC390817,Candidate_1170,West Bengal,ST,154,336,226,716,12424,3378,226,Yes,IPS
2017,UPSC195948,Candidate_5289,Maharashtra,SC,167,745,130,1042,10698,1135,169,Yes,IPS
2019,UPSC503560,Candidate_8105,Maharashtra,OBC,55,395,97,547,11343,4656,463,No,None
2024,UPSC339920,Candidate_9160,Uttar Pradesh,ST,140,322,117,579,16629,1761,373,No,None
2016,UPSC582903,Candidate_5440,Maharashtra,EWS,118,796,182,1096,1460,1093,114,Yes,IRS
2023,UPSC569502,Candidate_5822,Delhi,OBC,83,592,167,842,1973,2256,353,Yes,IRS
2019,UPSC898880,Candidate_4488,Tamil Nadu,OBC,62,605,80,747,18095,3487,156,Yes,IPS
2019,UPSC174517,Candidate_6786,West Bengal,SC,103,759,255,1117,13146,960,406,Yes,IPS
2024,UPSC200865,Candidate_1556,Tamil Nadu,SC,157,405,169,731,661,4391,152,Yes,None
2018,UPSC952264,Candidate_9063,Delhi,OBC,125,321,90,536,9007,2017,45,No,None
2017,UPSC771955,Candidate_2293,Tamil Nadu,ST,156,376,54,586,13259,559,486,No,None
2017,UPSC505815,Candidate_5004,Maharashtra,EWS,56,703,78,837,4202,4665,40,Yes,None
2017,UPSC176434,Candidate_3739,Tamil Nadu,OBC,66,736,117,919,14442,1675,152,Yes,IAS
2024,UPSC209613,Candidate_6780,West Bengal,EWS,146,379,266,791,7604,4373,465,Yes,None
2019,UPSC318483,Candidate_4332,Delhi,EWS,63,413,102,578,15007,1322,39,No,None
2015,UPSC318404,Candidate_2416,Maharashtra,OBC,157,493,197,847,14471,3225,493,Yes,IPS
2018,UPSC458411,Candidate_9955,Maharashtra,OBC,187,769,273,1229,19397,4153,424,Yes,IPS
2016,UPSC225425,Candidate_3154,Maharashtra,EWS,159,855,69,1083,237,3298,319,Yes,IPS
2021,UPSC782071,Candidate_5064,Karnataka,General,197,769,174,1140,18558,1612,280,Yes,IAS
2019,UPSC652394,Candidate_6450,West Bengal,ST,94,890,150,1134,4063,3236,296,Yes,IAS
2022,UPSC390963,Candidate_3014,Maharashtra,SC,138,614,153,905,15468,3343,492,Yes,IAS
2020,UPSC988297,Candidate_7111,Tamil Nadu,General,126,722,162,1010,3688,3193,130,Yes,None
2023,UPSC869747,Candidate_9227,Karnataka,EWS,104,787,92,983,17188,3275,192,Yes,IPS
2019,UPSC947888,Candidate_3817,Tamil Nadu,ST,162,844,151,1157,19051,3850,70,Yes,None
2022,UPSC118861,Candidate_7876,Tamil Nadu,General,175,715,139,1029,17548,4934,155,Yes,IFS
2020,UPSC892306,Candidate_4795,Uttar Pradesh,General,63,338,249,650,1478,3813,145,No,None
2022,UPSC521168,Candidate_4117,Tamil Nadu,SC,177,721,250,1148,19604,2282,154,Yes,IPS
2021,UPSC253839,Candidate_1022,Delhi,General,95,746,240,1081,14318,42,12,Yes,IFS
2018,UPSC763819,Candidate_3434,Delhi,OBC,135,451,168,754,19840,736,283,Yes,IRS
2020,UPSC107981,Candidate_5156,Uttar Pradesh,ST,197,390,112,699,15959,3413,305,No,None
2015,UPSC944248,Candidate_2391,Tamil Nadu,SC,183,522,52,757,8072,3517,178,Yes,IFS
2019,UPSC803561,Candidate_8943,West Bengal,SC,63,398,99,560,2252,3660,38,No,None
2023,UPSC499844,Candidate_8431,Uttar Pradesh,General,193,681,129,1003,19496,3128,61,Yes,IAS
2023,UPSC721134,Candidate_3519,Tamil Nadu,SC,113,572,235,920,3667,2437,371,Yes,None
2017,UPSC805525,Candidate_1424,Tamil Nadu,ST,82,798,219,1099,3299,382,36,Yes,IAS
2020,UPSC611226,Candidate_4670,Tamil Nadu,General,192,310,139,641,17519,4285,184,No,None
2019,UPSC243692,Candidate_5225,West Bengal,EWS,148,379,148,675,528,3927,348,No,None
2018,UPSC554582,Candidate_9214,Uttar Pradesh,ST,91,722,234,1047,3280,2793,264,Yes,IPS
2023,UPSC381476,Candidate_8055,Uttar Pradesh,OBC,169,755,253,1177,6920,2640,303,Yes,IRS
2016,UPSC900489,Candidate_9486,West Bengal,General,198,621,68,887,16239,2022,299,Yes,IFS
2024,UPSC816460,Candidate_1885,Delhi,ST,65,448,233,746,10058,3506,373,Yes,None
2019,UPSC700883,Candidate_7512,Delhi,EWS,87,321,204,612,2462,4851,4,No,None
2022,UPSC614934,Candidate_8524,Karnataka,SC,83,403,70,556,11971,3753,64,No,None
2023,UPSC486604,Candidate_9757,Karnataka,OBC,164,305,113,582,16780,1332,453,No,None
2016,UPSC256995,Candidate_6044,Uttar Pradesh,EWS,86,677,240,1003,2045,1709,78,Yes,IPS
2020,UPSC545218,Candidate_1922,West Bengal,EWS,134,402,148,684,2007,512,178,No,None
2024,UPSC989340,Candidate_2330,Uttar Pradesh,ST,102,757,223,1082,2996,2150,142,Yes,IPS
2019,UPSC758530,Candidate_2260,Tamil Nadu,ST,142,439,223,804,2251,588,343,Yes,IPS
2016,UPSC178057,Candidate_5601,Uttar Pradesh,OBC,154,519,206,879,12851,3882,88,Yes,IPS
2017,UPSC631992,Candidate_3544,West Bengal,General,178,706,118,1002,10854,1699,440,Yes,IFS
2020,UPSC177898,Candidate_8324,Delhi,General,150,888,81,1119,16840,2942,287,Yes,IAS
2017,UPSC237265,Candidate_9597,Uttar Pradesh,OBC,190,381,235,806,19619,2253,142,Yes,IAS
2016,UPSC722079,Candidate_6046,West Bengal,SC,102,694,227,1023,12257,3520,379,Yes,IAS
2024,UPSC943069,Candidate_7581,West Bengal,OBC,179,628,137,944,682,4317,365,Yes,None
2019,UPSC610533,Candidate_1567,Delhi,EWS,193,337,256,786,305,3843,422,Yes,IRS
2023,UPSC462409,Candidate_4554,Uttar Pradesh,SC,192,787,217,1196,2886,920,260,Yes,None
2023,UPSC352125,Candidate_2765,Tamil Nadu,EWS,61,343,197,601,10600,981,83,No,None
2020,UPSC141516,Candidate_7584,Uttar Pradesh,SC,151,389,73,613,13259,4354,456,No,None
2023,UPSC184963,Candidate_9444,Uttar Pradesh,OBC,51,644,136,831,103,4760,190,Yes,None
2017,UPSC839847,Candidate_2165,Uttar Pradesh,EWS,142,821,205,1168,3904,1926,26,Yes,IFS
2020,UPSC476173,Candidate_9324,Karnataka,SC,174,894,58,1126,13441,4929,366,Yes,IPS
2017,UPSC471360,Candidate_3744,Uttar Pradesh,General,176,429,238,843,2806,3134,219,Yes,IPS
2021,UPSC382981,Candidate_2045,Uttar Pradesh,ST,82,311,75,468,19115,3758,121,No,None
2024,UPSC941302,Candidate_2532,Tamil Nadu,SC,172,472,141,785,2981,2752,261,Yes,IAS
2022,UPSC443466,Candidate_8284,Maharashtra,EWS,62,515,196,773,18691,183,339,Yes,IRS
2017,UPSC460889,Candidate_2327,Delhi,General,194,900,62,1156,906,2158,460,Yes,IAS
2019,UPSC118207,Candidate_3475,Karnataka,OBC,163,871,219,1253,17603,814,320,Yes,IAS
2023,UPSC237503,Candidate_7476,Uttar Pradesh,ST,104,822,147,1073,13343,1981,6,Yes,IFS
2021,UPSC866842,Candidate_2103,Maharashtra,EWS,77,892,115,1084,12438,4665,75,Yes,IFS
2019,UPSC824631,Candidate_3171,West Bengal,OBC,111,362,220,693,10771,4493,198,No,None
2022,UPSC861619,Candidate_4275,Maharashtra,General,98,501,68,667,11924,1767,11,No,None
2015,UPSC561090,Candidate_8583,Karnataka,ST,153,629,179,961,5805,3706,499,Yes,IRS
2021,UPSC623816,Candidate_9416,Delhi,OBC,99,671,262,1032,8699,4534,72,Yes,IRS
2016,UPSC107410,Candidate_1342,Tamil Nadu,General,104,357,90,551,6315,3465,11,No,None
2016,UPSC981231,Candidate_2197,Karnataka,General,130,706,131,967,5562,451,445,Yes,IPS
2020,UPSC773357,Candidate_9169,Maharashtra,SC,69,425,83,577,19291,3359,223,No,None
2024,UPSC328050,Candidate_3341,Tamil Nadu,OBC,193,873,201,1267,5629,1496,96,Yes,IFS
2015,UPSC769996,Candidate_6897,Uttar Pradesh,SC,84,624,76,784,8620,3935,47,Yes,None
2015,UPSC507567,Candidate_5181,Karnataka,General,151,334,50,535,89,3741,142,No,None
2016,UPSC353838,Candidate_4932,Karnataka,General,135,727,54,916,5890,3943,132,Yes,IPS
2023,UPSC243076,Candidate_6712,Maharashtra,EWS,59,412,206,677,9809,2228,443,No,None
2017,UPSC706821,Candidate_1061,Delhi,OBC,85,625,56,766,11072,2673,118,Yes,IPS
2021,UPSC204452,Candidate_8836,Uttar Pradesh,ST,193,878,109,1180,8772,410,470,Yes,None
2016,UPSC554751,Candidate_9255,Maharashtra,ST,54,557,139,750,17676,1767,487,Yes,IFS
2016,UPSC936840,Candidate_2412,Karnataka,ST,88,469,143,700,5629,1481,369,Yes,IPS
2018,UPSC331398,Candidate_4062,West Bengal,EWS,176,675,210,1061,10088,3317,154,Yes,IFS
2023,UPSC715551,Candidate_2798,Uttar Pradesh,General,165,709,250,1124,8837,3613,498,Yes,IAS
2017,UPSC722918,Candidate_1937,Tamil Nadu,OBC,71,813,99,983,12111,3536,191,Yes,IFS
2021,UPSC329814,Candidate_4375,Delhi,General,80,524,236,840,6003,1520,268,Yes,IFS
2016,UPSC687758,Candidate_4267,Maharashtra,ST,93,470,177,740,3814,96,229,Yes,IRS
2023,UPSC907525,Candidate_1553,West Bengal,EWS,154,668,74,896,7175,287,263,Yes,IAS
2016,UPSC676926,Candidate_5931,Delhi,EWS,197,493,173,863,2800,3876,184,Yes,IFS
2016,UPSC561458,Candidate_4738,Karnataka,SC,107,486,203,796,1648,2787,365,Yes,None
2021,UPSC428521,Candidate_7572,Uttar Pradesh,EWS,198,766,106,1070,9328,1345,394,Yes,IRS
2022,UPSC242354,Candidate_3154,Delhi,General,196,362,140,698,3994,3979,288,No,None
2024,UPSC259725,Candidate_2520,Tamil Nadu,ST,138,730,177,1045,4194,4799,456,Yes,IFS
2017,UPSC693293,Candidate_2493,West Bengal,EWS,167,312,95,574,3128,1059,383,No,None
2022,UPSC214232,Candidate_2702,Tamil Nadu,OBC,174,662,50,886,2254,2415,234,Yes,None
2019,UPSC543814,Candidate_3022,Maharashtra,ST,112,751,59,922,13355,3496,38,Yes,IAS
2018,UPSC125083,Candidate_8561,Karnataka,OBC,152,675,158,985,4411,1618,197,Yes,IPS
2023,UPSC842374,Candidate_6077,Delhi,General,175,567,93,835,14348,2005,190,Yes,IFS
2022,UPSC585440,Candidate_3915,Uttar Pradesh,SC,173,332,92,597,10717,1445,81,No,None
2019,UPSC505438,Candidate_6571,Uttar Pradesh,ST,103,326,56,485,7460,4230,263,No,None
2023,UPSC351605,Candidate_5895,Karnataka,ST,72,586,211,869,12077,2467,76,Yes,None
2015,UPSC186581,Candidate_4655,Maharashtra,ST,170,403,217,790,4700,3111,340,Yes,IRS
2024,UPSC684306,Candidate_9408,Delhi,EWS,60,668,164,892,19966,1544,396,Yes,IAS
2021,UPSC662811,Candidate_5541,Delhi,SC,98,646,252,996,16572,3753,310,Yes,IFS
2019,UPSC684753,Candidate_1027,Tamil Nadu,SC,64,383,242,689,5615,3061,172,No,None
2019,UPSC946699,Candidate_3097,Uttar Pradesh,ST,115,813,169,1097,13784,4417,486,Yes,IRS
2023,UPSC181585,Candidate_1665,Delhi,EWS,81,677,248,1006,7497,1616,307,Yes,IRS
2015,UPSC926179,Candidate_2619,Tamil Nadu,General,107,413,75,595,17813,611,420,No,None
2015,UPSC656541,Candidate_4278,Delhi,ST,180,680,227,1087,16383,4912,476,Yes,None
2019,UPSC296587,Candidate_2343,Maharashtra,OBC,126,813,187,1126,2680,427,491,Yes,None
2024,UPSC691500,Candidate_2393,Delhi,EWS,82,744,74,900,19287,3709,93,Yes,IFS
2024,UPSC985345,Candidate_7188,West Bengal,OBC,124,690,124,938,1379,4777,362,Yes,IRS
2024,UPSC340259,Candidate_9256,Delhi,OBC,197,336,95,628,12746,1270,389,No,None
2015,UPSC586621,Candidate_9417,Delhi,ST,133,547,180,860,14553,4783,79,Yes,IRS
2024,UPSC898389,Candidate_5295,Karnataka,OBC,104,342,141,587,8433,4148,76,No,None
2016,UPSC396327,Candidate_6287,Tamil Nadu,EWS,200,506,257,963,12577,2263,333,Yes,IPS
2017,UPSC622914,Candidate_9426,West Bengal,SC,80,485,123,688,14377,1135,123,No,None
2015,UPSC198771,Candidate_6753,West Bengal,OBC,170,385,124,679,7772,1486,338,No,None
2016,UPSC862256,Candidate_8315,West Bengal,General,86,548,106,740,8910,3198,294,Yes,None
2018,UPSC132718,Candidate_4740,Tamil Nadu,General,81,858,71,1010,3909,2253,302,Yes,IAS
2018,UPSC872503,Candidate_8195,Karnataka,OBC,81,379,147,607,14415,1335,34,No,None
2017,UPSC842056,Candidate_5174,Uttar Pradesh,EWS,82,812,91,985,14265,2757,201,Yes,IRS
2019,UPSC542445,Candidate_9638,Maharashtra,General,148,407,161,716,18816,1530,54,Yes,IFS
2017,UPSC307763,Candidate_9636,Maharashtra,EWS,52,547,189,788,12066,915,306,Yes,IFS
2019,UPSC135433,Candidate_6046,Delhi,General,175,679,213,1067,19906,1355,129,Yes,None
2021,UPSC787531,Candidate_6686,Tamil Nadu,General,79,463,160,702,14492,4562,189,Yes,IRS
2022,UPSC197775,Candidate_3812,Uttar Pradesh,SC,137,815,273,1225,19855,418,473,Yes,IRS
2019,UPSC925735,Candidate_6548,Tamil Nadu,EWS,167,475,157,799,7120,1187,205,Yes,IPS
2018,UPSC357815,Candidate_3522,Tamil Nadu,OBC,64,334,67,465,17101,793,151,No,None
2021,UPSC135687,Candidate_9772,Maharashtra,EWS,151,493,152,796,17172,4527,435,Yes,IFS
2018,UPSC562065,Candidate_6292,Delhi,General,103,547,113,763,7125,3718,257,Yes,IPS
2022,UPSC205629,Candidate_9216,Maharashtra,ST,197,644,271,1112,3753,4830,374,Yes,IFS
2024,UPSC474238,Candidate_3180,Tamil Nadu,SC,95,699,234,1028,2024,1649,294,Yes,None
2016,UPSC264580,Candidate_8694,Uttar Pradesh,OBC,78,524,197,799,15401,242,461,Yes,None
2018,UPSC710061,Candidate_2224,West Bengal,OBC,80,576,162,818,8990,2090,8,Yes,IRS
2017,UPSC681059,Candidate_5910,West Bengal,General,114,473,266,853,17505,2822,293,Yes,None
2022,UPSC476890,Candidate_4657,Tamil Nadu,ST,150,838,231,1219,19545,2457,475,Yes,IAS
2023,UPSC797674,Candidate_3243,Maharashtra,General,74,335,58,467,18890,1593,17,No,None
2020,UPSC736891,Candidate_7805,Tamil Nadu,General,198,752,245,1195,12720,4911,410,Yes,IFS
2016,UPSC979096,Candidate_8733,West Bengal,OBC,198,648,108,954,5050,3529,38,Yes,None
2018,UPSC486977,Candidate_7274,Tamil Nadu,SC,196,512,246,954,8986,840,133,Yes,IRS
2022,UPSC322925,Candidate_3495,Karnataka,General,196,654,98,948,14815,3898,60,Yes,IAS
2024,UPSC626907,Candidate_2228,Karnataka,EWS,152,469,154,775,9429,308,387,Yes,IPS
2021,UPSC391448,Candidate_9265,Maharashtra,EWS,118,691,272,1081,18251,4361,388,Yes,IRS
2022,UPSC638451,Candidate_3768,West Bengal,ST,186,320,229,735,6791,210,370,Yes,None
2024,UPSC534025,Candidate_5173,Karnataka,SC,192,499,66,757,18956,758,320,Yes,None
2018,UPSC780393,Candidate_8210,Uttar Pradesh,SC,59,826,271,1156,15324,1545,48,Yes,IPS
2022,UPSC885683,Candidate_6368,Tamil Nadu,General,155,336,125,616,17114,4411,201,No,None
2018,UPSC100506,Candidate_9052,Karnataka,OBC,177,677,255,1109,17517,1054,3,Yes,IFS
2022,UPSC548558,Candidate_1772,Tamil Nadu,OBC,87,507,228,822,3918,920,125,Yes,IFS
2016,UPSC883090,Candidate_6809,Uttar Pradesh,ST,98,306,140,544,5733,4045,469,No,None
2024,UPSC845564,Candidate_3112,Karnataka,General,51,475,104,630,18958,4403,89,No,None
2022,UPSC468994,Candidate_5241,Maharashtra,OBC,178,753,60,991,10563,995,167,Yes,IPS
2018,UPSC964293,Candidate_3494,Maharashtra,General,173,650,151,974,14319,16,191,Yes,None
2021,UPSC378982,Candidate_2096,Delhi,OBC,169,774,76,1019,2763,4554,453,Yes,None
